mouse_id	 g__A2	 g__AKAU3644	 g__ASF356	 g__Acetatifactor	 g__Acinetobacter	 g__Adlercreutzia	 g__Akkermansia	 g__Alistipes	 g__Alloprevotella	 g__Anaerofustis	 g__Anaeroplasma	 g__Anaerostipes	 g__Anaerotruncus	 g__Anaerovorax	 g__Atopobium	 g__Bacillus	 g__Bacteroides	 g__Bifidobacterium	 g__Blautia	 g__Butyricicoccus	 g__Butyricimonas	 g__Candidatus_Arthromitus	 g__Candidatus_Saccharimonas	 g__Candidatus_Soleaferrea	 g__Christensenellaceae_R-7_group	 g__Clostridia_UCG-014	 g__Clostridia_vadinBB60_group	 g__Clostridioides	 g__Clostridium_sensu_stricto_1	 g__Colidextribacter	 g__Desulfovibrio	 g__Dorea	 g__Dubosiella	 g__Dyadobacter	 g__Eisenbergiella	 g__Enterococcus	 g__Enterorhabdus	 g__Erysipelatoclostridiaceae	 g__Erysipelatoclostridium	 g__Erysipelotrichaceae	 g__Escherichia-Shigella	 g__Faecalibaculum	 g__Family_XIII_AD3011_group	 g__Family_XIII_UCG-001	 g__GCA-900066575	 g__Gastranaerophilales	 g__Gordonibacter	 g__Harryflintia	 g__Hungatella	 g__Hydrogenoanaerobacterium	 g__Ileibacterium	 g__Incertae_Sedis	 g__Intestinimonas	 g__Lachnoclostridium	 g__Lachnospiraceae_FCS020_group	 g__Lachnospiraceae_NC2004_group	 g__Lachnospiraceae_NK4A136_group	 g__Lachnospiraceae_NK4B4_group	 g__Lachnospiraceae_UCG-001	 g__Lachnospiraceae_UCG-004	 g__Lachnospiraceae_UCG-006	 g__Lachnospiraceae_UCG-008	 g__Lachnospiraceae_UCG-010	 g__Lactobacillus	 g__Marvinbryantia	 g__Monoglobus	 g__Moorella	 g__Mucispirillum	 g__Muribaculaceae	 g__NK4A214_group	 g__Negativibacillus	 g__Oscillibacter	 g__Paludicola	 g__Parasutterella	 g__Peptococcus	 g__Prevotellaceae_UCG-001	 g__Proteus	 g__RF39	 g__Rikenella	 g__Rikenellaceae_RC9_gut_group	 g__Romboutsia	 g__Roseburia	 g__Ruminiclostridium	 g__Ruminococcaceae	 g__Ruminococcus	 g__Sphingomonas	 g__Stenotrophomonas	 g__Streptococcus	 g__Tumebacillus	 g__Turicibacter	 g__Tuzzerella	 g__Tyzzerella	 g__UBA1819	 g__UCG-005	 g__UCG-009	 g__UCG-010	 g__[Clostridium]_innocuum_group	 g__[Eubacterium]_brachy_group	 g__[Eubacterium]_coprostanoligenes_group	 g__[Eubacterium]_fissicatena_group	 g__[Eubacterium]_nodatum_group	 g__[Eubacterium]_siraeum_group	 g__[Eubacterium]_ventriosum_group	 g__[Eubacterium]_xylanophilum_group	 g__uncultured
CDD02.CR.Chow.1	7.182033642827273e-05	0.0	0.00020833958352083334	0.0	0.0	0.000530015900477	0.00328409852295568	0.0	0.0	0.0	0.0003850115503465	0.000590017700531	0.00057251717551525	0.0	0.0	0.0	0.0	0.0	0.000340010200306	0.0	0.0	0.001360040801224	0.0	0.0	0.0	0.00037104205909682165	0.00012407151875572882	0.0	0.0016567163681577002	0.00017273245470090907	0.0	0.00229006870206105	0.0	0.0	0.0	9.166941674916666e-05	0.00018750562516875	0.0	0.0010431082163234076	0.0	0.0	0.0	0.0	0.0	0.00010066968675726665	7.500225006750203e-06	0.0	0.0	0.0	0.0	0.0	0.00017826621755174347	0.000460013800414	0.00017600528015839997	7.0002100063e-05	0.0	0.000483802392859656	0.0	0.00022231436173853847	0.00044001320039600004	0.0005880176405292	0.0	0.0	0.01644160435924188	0.0027175815274458003	0.0	0.0	5.0001500045e-05	0.004255809492466587	0.0	0.0	0.0007378792792355143	0.0	0.0	0.0	0.0	0.000170005100153	7.805112202146341e-05	0.0	0.0	0.001190035701071	0.0002717728590681176	0.0	0.0	0.00010000300009	0.0	0.0	0.0	0.0	0.0	0.0011667016677166667	0.0	0.0001520045601368	0.0	0.0	0.000108574685812	0.00065751972559175	5.0001500045e-05	0.00282608478254346	8.50025500765e-05	0.00020750622518675	0.0	0.00238507155214655	0.0012375371261137624	0.0001934268554372386
CDD02.CR.Chow.2	3.909169092472727e-05	0.0	0.000195003900078	0.0	0.0	0.0	0.0008880177603552	0.0	0.0	0.0	0.000155003100062	0.000170003400068	0.000330006600132	0.0	0.0	0.0	0.0	0.0	0.00017857500007142858	0.0	0.0	0.000360007200144	0.0	0.0	0.0	0.0002624794763936505	2.4237772891050848e-05	0.0	0.0017167010006866668	0.00014818478187745453	0.0	0.00112502250045	0.0	0.0	0.0	0.0	0.00029500590011800003	0.0	0.00043462407709692313	0.0	0.0	0.0	5.20010400208e-05	0.0	1.9333720007733335e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00015913361745495654	0.000120002400048	0.00022500450009000004	0.00022143300008857142	0.0	0.000317127554672303	0.0	0.0027046694780049384	0.000190003800076	0.0010270205404108	0.0	0.0	0.01991113896352001	0.001790035800716	0.0	0.0	2.8333900011333335e-05	0.003496888119580568	0.0	0.0	0.00044143740017657144	0.0	0.0	0.0	0.0	0.0	0.00011036806101975609	0.0	0.0	0.009146849603658733	0.00016882690594988235	0.0	0.000360007200144	0.0	0.0	0.0	0.0	0.0	0.000120002400048	0.000640012800256	0.0	2.0000400008e-05	0.0	0.0	0.00012714540005085714	0.000420008400168	0.0	0.0026720534410688	0.0	0.000185003700074	0.0	0.005027600552011025	0.0009275185503709999	0.00013087981057866667
CDD02.CR.Chow.3	0.00014273583687748182	0.0	9.833923368735e-05	0.0	0.0	0.0	0.0032401944116647	0.0	0.0	0.0	0.00036002160129605	0.0005700342020521	0.000675040502430125	0.0	0.0	0.0	0.0	0.0	4.4288371587999994e-05	0.000220013200792025	0.0	0.0008800528031681	0.0	0.0	0.0	0.00030424505882723814	6.79701799057051e-05	0.0	0.0021134601409417667	0.00011455232768510909	0.0	0.0016751005060303501	0.0	0.0	0.0	0.0	0.00021667966744670834	0.0	0.0004738745863213308	0.0	0.0	0.0	8.80052803168e-05	0.0	4.266922682027333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00012087681782645651	3.0001800108e-05	0.00021201272076323997	7.714748599201429e-05	0.0	0.000624885978007159	0.0	0.0025855397477694765	0.0003533545346054	0.00105606336380181	0.0	0.0	0.013311539433106721	0.002267636058163475	0.0	0.0	0.0007333773359734833	0.005040075131780632	0.0	0.0	0.00043216878727008574	0.0	0.0	0.0	0.0	9.0005400324e-05	9.866445645274878e-05	0.0	0.0	0.0033902034122047	0.0005835644256302352	0.0	3.2501950117e-05	7.0004200252e-05	0.0	0.0	0.0	0.0	0.00010000600036	0.0011500690041402334	0.0	0.00015000900054002	0.0	0.0	0.00012572182902401428	0.000457527451647075	6.5003900234e-05	0.00413224793487608	6.5003900234e-05	0.000367522051323075	0.0	0.00394773686421185	0.0013750825049502874	0.00019895930597940088
CDD02.CR.Chow.4	0.00024272727272727274	0.0	0.0004516666666666667	0.0	0.0	0.00056	0.001686	0.0	0.0	0.0	0.00019	0.00038	0.00033	0.0	0.0	0.0	4.117647058823529e-06	0.0	6.714285714285714e-05	0.0	0.0	0.00269	0.0	0.0	0.0	0.0002404123711340206	8.898305084745763e-05	0.0	4.6666666666666665e-05	0.0002290909090909091	0.0	0.0016216666666666664	0.0	0.0	0.0	0.0	0.00017916666666666667	0.0	0.0017530769230769232	0.0	0.0	0.0	3.8e-05	0.0	3.933333333333334e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00020782608695652172	0.0005233333333333334	0.00021166666666666667	0.0005371428571428572	0.0	0.0005390909090909091	0.0	0.002800769230769231	0.0006466666666666667	0.000406	0.0	0.0	0.015772222222222222	0.0037625	0.0	0.0	0.0008816666666666668	0.0037965909090909087	0.0	0.0	0.0003564285714285714	0.0	0.0	0.0	0.0	0.0	1.3292682926829268e-05	7e-05	0.0	0.00016666666666666666	0.00045088235294117644	0.0	0.0034825	4e-05	0.0	0.0	0.0	0.0	0.0	0.0013933333333333332	0.0	3.8e-05	0.0	0.0	7.428571428571427e-05	0.0004075	4.333333333333333e-05	0.002102	4.5e-05	0.0005075	0.0	0.0022025	0.002335	0.00024359649122807016
CDD02.CR.Chow.5	0.00010102021314354545	0.0	0.00021356825841758334	0.0	0.0	0.0	0.00062568825708279	0.0	0.0	0.0	0.0002202422664931	0.0	0.00038041846030632505	0.0	0.0	0.0	0.0	0.0	0.00011441156700941429	0.0	0.0	0.000340374411853	0.0	0.0	0.0	0.0002320077858840577	4.2080186510242374e-05	0.0	0.0013014315747322	0.00021387162242101815	0.0	0.0015133313311309	0.0	0.0	0.0	0.0	0.00019938599125704168	0.0	0.0003257429326104846	0.0	0.0	0.0	0.0	0.0	2.4693829879533334e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00011534427000134348	0.0	0.00031401207995460334	0.00015302547087508571	0.0	0.0006913665638262605	0.0	0.005016287146630515	0.0	0.00096806487135849	0.0	0.0	0.018799197635918023	0.001243868255080575	0.0	0.0	0.00010011012113323333	0.0026351714158301363	0.0	0.0	0.0010061067173891213	0.0	0.0	0.0	0.0	0.0	0.00010377268654055853	0.0	0.0	0.0051790302666266	0.00031917462149539706	0.0	0.0009335268795675	0.0	0.0	0.0	0.0	0.0	0.0	0.0005706276904595	0.0	0.00035639203123434	0.0	0.0	0.00011584171159702857	0.000252778055861425	2.1690526245533333e-05	0.0020722795074581803	0.0	0.000160176193813175	0.0	0.003471318450295325	0.0013715086595254625	0.00021558802401939385
CDD02.CR.HFHF.1	0.000722850157254	0.0	0.00032338830934591664	0.0	0.0	0.0002600442075152	0.00447576087934948	0.0	0.0	0.0	0.00013502295390215	0.0002600442075152	0.0011726993588909737	0.0	0.0	0.0	3.5300118667232257e-06	0.0	9.573055990946316e-05	0.0	0.0	0.0005000850144524	0.0	0.0	0.0	0.0002600442075152722	3.4582150151961016e-05	0.0	0.00014335770414303334	6.91026565425091e-05	2.000340057809828e-05	0.0048574924403815166	0.0	0.0	0.0	3.0005100867133336e-05	0.0002650450576598	0.0	0.0007147368898866615	0.0	0.0	0.0	4.600782132962e-05	0.0	0.00015402618445134293	0.0	0.0	0.0	0.0	0.0	0.0	0.00014002380404668698	0.0005350909654641	0.0008768157253399599	0.0002629018361692857	0.0	0.0008913636530331227	0.0	0.001595655876883669	0.0006434427185954667	0.0038196493403878594	0.0	0.0	0.006653353292281907	0.00298550753628115	0.0	0.0	0.002893825283631533	0.0036049310200915933	0.0	0.0	9.644496707296427e-05	0.0	0.0	0.0	0.0	0.0	7.123162157078537e-05	0.0	0.0	0.00011668650337223334	0.0020115184287211	0.0	4.50076513007e-05	0.000180030605202875	0.0	0.0	0.0	0.0	0.0	0.0006601122190772334	0.0	0.00011401938329516	0.0	0.0	0.00011573396048755714	0.000382565036056125	6.167715178246667e-05	0.00185031455347408	0.0	9.25157276737e-05	0.0	0.00207035195983315	0.005454677295140162	0.0003114564563695009
CDD02.CR.HFHF.2	0.0004100205010250364	0.0	0.0002600130006500167	0.0	0.0	0.0	0.004045202260113	0.0	0.0	0.0	0.000290014500725	0.000210010500525	0.00057002850142505	0.0	0.0	0.0	0.0	0.0	0.00012429192888214287	0.0	0.0	0.0	0.0	0.0	0.0	0.0002173304541515701	6.135900015339153e-05	0.0	0.0007300365018250666	0.0001781907277182	0.0	0.005880294014700732	0.0	0.0	0.0	9.667150024166666e-05	0.00019584312548959998	0.0	0.00037155703939043076	0.0	0.0	0.0	5.0002500124999994e-05	0.0	5.2669300131666665e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00013435454381414348	0.00035835125089586666	0.0006783672516959067	0.000678605358839343	0.0	0.001273093957728179	0.0	0.002113182582206023	0.00027668050069170003	0.0032861643082153897	0.0	0.0	0.008613023243754772	0.001755087754387675	0.0	0.0	0.0024717902561794667	0.0034001700085004205	0.0	0.0	0.0004835956083518428	0.0	0.0	0.0	0.0	2.5001250062503124e-05	0.00012305493323446477	0.0	0.0	0.0009433805023584	0.0008647491198089118	0.0	0.000190009500475	7.50037501875e-05	0.0	0.0	0.0	0.0	0.0	0.0013133990032834668	0.0	7.4003700185e-05	0.0	0.0	0.00014429292893215716	0.000207510375518775	0.0	0.0018700935046752	5.50027501375e-05	0.000202510125506275	0.0	0.00172758637931895	0.0033064153207660245	0.00037493102725310977
CDD02.CR.HFHF.3	0.0006510002309414001	0.0	0.00013001820254835	0.0	0.0	0.0004800672094093	0.00852419338707419	0.0	0.0	0.0	0.00013001820254835	0.0001500210029404	9.751365191125e-05	0.0	0.0	0.0	7.648129561664706e-06	0.0	3.714805787095714e-05	0.000305042705978825	0.0	0.0003000420058808	0.0	0.0	0.0	0.0007047378385551258	0.000108489764838261	0.0	0.0002900406056847667	0.00022094002251222728	0.0	0.0012451743244054	0.0	0.0	0.0	0.0	0.0001850259036265	0.0	0.0006131627658641384	0.0	0.0	0.0	6.600924129378e-05	0.0	2.6003640509666666e-05	0.0	0.0	0.0	0.0002800392054887	0.0	0.0	0.00019437503859235655	0.00027170470532540003	0.0002843731455737	9.14413732208e-05	0.0	0.00035565585242539093	0.0	0.0027788505775423853	0.0003900546076450666	0.0006950973136239001	1.1251575220530875e-05	0.0	0.009988805840225037	0.0028503990558678	0.0	0.0	0.00010168090199293334	0.006064712696141092	0.0	0.0	0.00018359713216992143	0.0	0.0	0.0	0.0	5.500770107815e-05	0.00017965929864326952	0.0	0.0	0.00037671940738370004	0.00025738897563304413	0.0	0.000667593463084825	0.0051782249514932	0.0	0.0	0.0	0.0	0.0	0.0008834570173157333	0.0	9.601344188186e-05	0.0	0.0	8.429751593794286e-05	0.000305042705978825	8.66788016989e-05	0.00389454523633306	0.0001100154021563	0.000175024503430475	0.0	0.00534074770467865	0.0007976116656331749	0.0001490559555530684
CDD02.CR.HFHF.4	0.0004727272727272727	0.0	0.00019666666666666669	0.0	0.0	0.0	0.0062450000000000006	0.0	0.0	0.0	0.0	0.00077	0.00018	0.0	0.0	0.0	0.0	0.0	6.857142857142857e-05	5.25e-05	0.0	9e-05	0.0	0.0	0.0	0.0003187628865979381	6.71186440677966e-05	0.0	0.0006	0.00015545454545454546	0.0	0.002195	7e-05	0.0	0.0	0.0	0.0002483333333333333	0.0	0.00078	0.0	0.0	0.0	9.2e-05	0.0	2.9333333333333336e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00015434782608695654	0.000205	0.00022633333333333332	8.571428571428573e-05	0.0	0.0001053030303030303	0.0	0.0005676923076923077	4.9999999999999996e-05	0.001004	0.0	0.0	0.01724222222222222	0.0059875	0.0	0.0	1.1666666666666666e-05	0.0040234090909090905	0.0	0.0	0.0003614285714285714	0.0	0.0	0.0	0.0	4.5e-05	6.695121951219513e-05	0.0	0.0	0.0012766666666666666	0.00012029411764705883	0.0	3e-05	0.0006125	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.000196	0.0	0.0	2.4285714285714288e-05	0.0006275	2.8333333333333335e-05	0.0040680000000000004	0.00011	0.0004225	0.0	0.00638	0.0010075000000000001	0.00010017543859649122
CDD02.CR.HFHF.5	5.363797277554546e-05	0.0	0.00018333883349833333	0.0	0.0	0.000620018600558	0.00493814814444433	0.0	0.0	0.0	9.50028500855e-05	0.000430012900387	4.750142504275e-05	0.0	0.0	0.0	0.0	0.0	5.8573185767e-05	0.0	0.0	0.00010000300009	0.0	0.0	0.0	0.00030578236934736703	2.661096782055932e-05	0.0	0.0030300909027270663	9.454829099418182e-05	0.0	0.0028634192359104	0.0	0.0	0.0	0.0	0.0002366737668796667	0.0	0.0007100213006390153	0.0	0.0	0.000120003600108	4.40013200396e-05	0.0	3.1334273361533335e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00018652733495048263	0.0002950088502655	0.00019967265684636665	0.00010000300009000001	0.0	0.00026909898206036516	0.0	0.0012361909318818	0.00020667286685266666	0.00254907647229415	0.0	0.0	0.015319718850824782	0.003335100053001575	3.0000900027e-05	0.0	6.666866672666667e-05	0.004840599763447443	0.0	0.0	9.000270008099999e-05	0.0	0.0	0.0	0.0	0.0	7.82950317777805e-05	0.0	0.0	0.0057668396718567995	0.00021912422078544116	0.0	3.750112503375e-05	0.001272538176145275	0.0	0.0	0.0	0.0	0.000310009300279	0.0006433526339123334	0.0	9.0002700081e-05	0.0	0.0	9.571715722900001e-05	0.00038751162534875	6.666866672666667e-05	0.00291008730261906	0.000130003900117	0.00036251087532625	0.0	0.004832644979349375	0.0009887796633898875	0.00013035478783661407
