mouse_id	 f__AKAU3644	 f__Acholeplasmataceae	 f__Akkermansiaceae	 f__Alicyclobacillaceae	 f__Anaerofustaceae	 f__Anaerovoracaceae	 f__Atopobiaceae	 f__Bacillaceae	 f__Bacteroidaceae	 f__Beggiatoaceae	 f__Bifidobacteriaceae	 f__Butyricicoccaceae	 f__Christensenellaceae	 f__Clostridia_UCG-014	 f__Clostridia_vadinBB60_group	 f__Clostridiaceae	 f__Deferribacteraceae	 f__Desulfovibrionaceae	 f__Eggerthellaceae	 f__Enterobacteriaceae	 f__Enterococcaceae	 f__Erysipelatoclostridiaceae	 f__Erysipelotrichaceae	 f__Gastranaerophilales	 f__Hungateiclostridiaceae	 f__Lachnospiraceae	 f__Lactobacillaceae	 f__Marinifilaceae	 f__Monoglobaceae	 f__Moorellaceae	 f__Moraxellaceae	 f__Morganellaceae	 f__Muribaculaceae	 f__Oscillospiraceae	 f__Oscillospirales	 f__Peptococcaceae	 f__Peptostreptococcaceae	 f__Prevotellaceae	 f__RF39	 f__Rikenellaceae	 f__Ruminococcaceae	 f__Saccharimonadaceae	 f__Sphingomonadaceae	 f__Spirosomaceae	 f__Streptococcaceae	 f__Sutterellaceae	 f__Tannerellaceae	 f__UCG-010	 f__Weeksellaceae	 f__Xanthomonadaceae	 f__[Eubacterium]_coprostanoligenes_group	 f__uncultured
0	0.0	-0.0002100504120989	0.0384356213480836	0.0	-0.0002300552132511	-0.001380331279507	0.0	0.0	-0.0223015359003218	0.0	0.0	-0.0003300792190125	-0.001810434504281	-0.0230955429303032	-0.0062314955589341	-0.0243958550052012	-0.0005601344322637	-0.0010102424581899	-0.0032907897895494	0.3475811539693765	0.1513689726611691	-0.0028406817636232	0.1112946592903546	-0.0002800672161318	0.0	-0.23465325385693	-0.3754344065689873	-0.000730175242058	-9.002160518524446e-05	0.0	0.0	0.0	-0.1197087300952228	-0.0318976554373049	0.0	-0.0106025446107065	0.1038306861112239	-0.0091621989277426	-0.0031807633832119	-0.0212250940225654	-0.0053012723053532	0.0	8.12446683186416e-05	0.0	-0.0003300792190125	0.0601725983883123	0.0903592362837349	-0.0004201008241978	0.0	0.0	-0.0024205809394254	0.0
1	0.0	-0.0002700459078043	0.1561303823265939	0.0	0.0	-0.0009701649280377	0.0	0.0	-6.0010201734294833e-05	0.0	0.0	0.0	0.0	-0.0252242881289819	-0.002040346858966	-0.0009301581268815	-0.0173629517017893	-4.000680115619656e-05	-0.0034405848994329	0.0	0.1451685159093319	-0.0092915795685266	0.029849190221179	0.0	0.0	-0.4650407921173081	-0.1658806764902355	0.0	0.0	0.0	0.0	0.2085179148208518	-0.1586169648840303	-0.0089315183581208	0.0	0.0	0.0918690182991052	0.0	-0.0058409929688046	0.0	-0.0118320114419451	0.0	0.0	0.0	0.0	0.0	0.2542997822974772	-0.0008101377234129	0.0	0.0	-0.0092515727673704	0.0
2	0.0	-0.0003700259018131	-0.0006900272972897	0.0	0.0	-0.0022901603112217	0.0	0.0	0.0	0.0	0.0	-0.0003300231016171	0.0	-0.0455431880231616	-0.0038802716190133	-0.0005400378026461	-0.000240016801176	0.0	-0.0022301561109277	0.1173158094780851	0.1223169922440691	-0.0077505425379776	0.0772973774490806	0.0	0.0	-0.1541107742512269	-0.5687989037225765	0.0	0.0	0.0	0.0	0.0626638370477207	-0.1186083025811806	-0.0080305621393497	0.0	-4.000280019601372e-05	-0.0070804956346944	0.0	-0.0085605992419469	0.0	-0.0065704599321952	0.0	0.0	0.0	0.0	0.0	0.5685714086525095	-0.000270018901323	0.0	0.0	-0.0122308561599311	0.0
3	0.0	-0.000290075419609	-0.0516333574231651	0.0	0.0	-0.0021405565447016	0.0	0.0	0.0	0.0	0.0	-0.0010502730709984	0.0	-0.0622961970112229	-0.0039710324684417	-0.0417608578230339	-0.0052213575529637	0.0	-0.0010502730709984	0.0	0.0898665636733465	-0.0064416267874184	0.119871081218022	0.0	0.0	-0.1349750935243163	-0.3613428779555859	0.0	0.0	0.0	0.0	0.198296763611314	-0.1672834937083641	-0.0069217996679136	0.0	0.0	-0.0370196251025266	0.0	-0.0100126032768519	0.0	-0.0230960049612899	0.0	0.0	0.0	0.0	0.0	0.5252570608013428	-0.0008902314601796	0.0	0.0	-0.0158541220717386	0.0
4	0.0	0.0001475307177322	0.3588234536054671	0.0	0.0	0.0027237202745284	0.0001210568260917	0.0	0.0020377899058783	0.0	0.0	-0.0008800528031681	0.0	-0.0295117707062423	-0.0040102406144368	-0.0072204332259935	-0.0044002640158409	0.0	-0.0026001560093605	0.0020377899058783	0.0879175199491561	0.0252841409551628	0.0077461790564576	0.0	0.0	-0.1785947681642239	-0.3477800213202296	0.0	0.0	0.0	0.0	0.2128800031208869	-0.2217633057983479	-0.0138008280496829	0.0	-0.000180010800648	0.0305750998121111	0.0	-0.0080904854291257	0.0	-0.0047679245594385	0.0	0.0	0.0	0.0	0.0	0.114847269844937	-0.0008800528031681	0.0	0.0	-0.0206612396743804	0.0
5	0.0	0.0	0.0863697700883399	0.0	0.0	-0.0027702770277027	0.0	0.0	0.4198702968127791	0.0	0.0	-0.0016201620162016	-0.0009800980098009	-0.0071507150715071	-0.0024302430243024	-0.005020502050205	-0.0007100710071007	-8.000800080008001e-05	-0.0011401140114011	-0.0001800180018001	0.0	0.0292600414753022	0.0483896864171162	-5.000500050005001e-05	0.0	-0.298979904290492	-0.0906279206806469	-0.0009900990099009	-0.0006600660066006	0.0	0.0	0.0	-0.2421642164216421	-0.0254725472547254	0.0	-0.0002300230023002	0.0479304523018227	-0.0016501650165016	-0.0031403140314031	-0.0173617559757955	-0.0101310131013101	0.0	0.0	0.0	0.0	0.0216798306596927	0.0625204082823906	-0.0004300430043004	0.0	0.0	-0.002050205020502	0.0
6	0.0	-0.0007799844003119	0.0038433038983273	7.140161367646909e-05	-0.0002699946001079	-0.0034699306013879	0.0	0.0	0.6264875648048408	0.0	0.0	-0.0021099578008439	-0.0005999880002399	-0.0252494950100998	-0.0034199316013679	-0.0034099318013639	-0.0049299014019719	-0.0017599648007039	-0.0031599368012639	0.0	-0.0002499950000999	0.0737562852096793	0.1144851777832095	-0.0001699966000679	0.0	-0.4826351843476304	-0.215004811871693	-0.0009599808003839	-0.0001699966000679	0.0	0.0	0.0	-0.1019179616407671	-0.0342593148137037	0.0	-0.0109697806043879	0.0597223497251037	-0.0116797664046719	-0.0045299094018119	-0.0073268469451137	-0.0105583857905754	-7.999840003199936e-05	0.0	0.0001530034578781	0.0	0.0177496036969924	0.034582232251435	-0.0002599948001039	0.0	0.0	-0.0009199816003679	0.0
7	0.0	0.0	0.0995342999578301	0.0	0.0	-0.0014305436065704	0.0	0.0	0.2971756779952001	0.0	0.0	-0.0002100798303355	-0.0011504371661231	-0.035593525539705	-0.003391288689702	-0.0094735999679878	-0.0004901862707828	0.0	-0.0030011404333646	0.1567677888706264	0.000249844128228	-0.0007002661011184	0.0995540368443163	-0.0005101938736719	0.0	-0.1536884577167375	-0.4752421855101678	-0.0010503991516776	-0.001330505592125	0.0	0.0	0.0	-0.1653928492827274	-0.0192973329865348	0.0	-0.003081170844921	0.0750937546877343	-0.0166263180008403	-0.0211980552609991	-0.0124747404013525	-0.0031612012564774	-0.0001000380144454	0.0	0.0	-0.0001800684260018	0.0411418028935499	0.1610280514025701	-0.0004101558592265	0.0	0.0	-0.0013605169964586	0.0
8	0.0	-0.0001999960000799	-0.0089398212035759	0.0	0.0	-0.0011099778004439	0.0	0.0	0.00955	0.0	0.0	0.0	0.0	-0.0147397052058958	-0.0021099578008439	-0.0004899902001959	-0.0006699866002679	0.0	-0.0042599148017039	0.0	0.00819	-0.0053598928021439	0.08509002799944	0.0	0.0	-0.4165116697666046	-0.361462452350953	0.0	0.0	0.0	0.0	0.16902	-0.1016279674406512	-0.0069198616027679	0.0	0.0	-0.0054098918021639	0.0	-0.0038499230015399	0.0	-0.0102097958040839	0.0	0.0	0.0	0.0	0.0	0.6885604453910921	-0.0006099878002439	0.0	0.0	-0.0159296814063718	0.0
9	0.0	0.0	-0.008420421021051	0.0	-0.00038001900095	-0.0022301115055752	0.0	0.0	-0.0608230411520576	0.0	0.0	0.0	-0.0036301815090754	-0.0255412770638531	-0.0014600730036501	-0.0054202710135506	-0.000430021501075	-0.0028801440072003	-0.0041302065103255	0.7433665506063153	0.0013306919598191	-0.0073103655182759	0.220179033524454	-0.0001200060003	0.0	-0.1779988152967499	-0.3323348982512959	-0.0024001200060003	-0.00034001700085	0.0	0.0	0.0	-0.2278113905695284	-0.0238911945597279	0.0	-0.0033801690084504	0.0	-0.0277413870693534	-0.0058302915145757	-0.0089604480224011	-0.016060803040152	-0.00022001100055	0.0	0.0	0.0003501820946892	-0.0031401570078503	-0.0066903345167258	-0.0009300465023251	0.0	0.0	-0.0040702035101755	-0.0001200060003
