	tax_family	mouse_id	rel_abund_diff_d3-d15
0	 f__AKAU3644	CDD02.CR.Chow.1	0.0
1	 f__AKAU3644	CDD02.CR.Chow.2	0.0
2	 f__AKAU3644	CDD02.CR.Chow.3	0.0
3	 f__AKAU3644	CDD02.CR.Chow.4	0.0
4	 f__AKAU3644	CDD02.CR.Chow.5	0.0
5	 f__AKAU3644	CDD02.CR.HFHF.1	0.0
6	 f__AKAU3644	CDD02.CR.HFHF.2	0.0
7	 f__AKAU3644	CDD02.CR.HFHF.3	0.0
8	 f__AKAU3644	CDD02.CR.HFHF.4	0.0
9	 f__AKAU3644	CDD02.CR.HFHF.5	0.0
10	 f__AKAU3644	CDD02.CR.HFLF.1	0.0
11	 f__AKAU3644	CDD02.CR.HFLF.2	0.0
12	 f__AKAU3644	CDD02.CR.HFLF.3	0.0
13	 f__AKAU3644	CDD02.CR.HFLF.4	0.0
14	 f__AKAU3644	CDD02.CR.HFLF.5	0.0
15	 f__AKAU3644	CDD02.CR.LFHF.1	0.0
16	 f__AKAU3644	CDD02.CR.LFHF.2	0.0
17	 f__AKAU3644	CDD02.CR.LFHF.3	0.0
18	 f__AKAU3644	CDD02.CR.LFHF.4	0.0
19	 f__AKAU3644	CDD02.CR.LFHF.5	0.0
20	 f__AKAU3644	CDD02.CR.LFLF.1	0.0
21	 f__AKAU3644	CDD02.CR.LFLF.2	0.0
22	 f__AKAU3644	CDD02.CR.LFLF.3	0.0
23	 f__AKAU3644	CDD02.CR.LFLF.4	0.0
24	 f__AKAU3644	CDD02.CR.LFLF.5	0.0
25	 f__AKAU3644	CDD02.Tc.Chow.1	0.0
26	 f__AKAU3644	CDD02.Tc.Chow.2	0.0
27	 f__AKAU3644	CDD02.Tc.Chow.3	0.0
28	 f__AKAU3644	CDD02.Tc.Chow.4	0.0
29	 f__AKAU3644	CDD02.Tc.Chow.5	0.0
30	 f__AKAU3644	CDD02.Tc.HFHF.1	0.0
31	 f__AKAU3644	CDD02.Tc.HFHF.2	0.0
32	 f__AKAU3644	CDD02.Tc.HFHF.3	0.0
33	 f__AKAU3644	CDD02.Tc.HFHF.4	0.0
34	 f__AKAU3644	CDD02.Tc.HFHF.5	0.0
35	 f__AKAU3644	CDD02.Tc.HFLF.1	0.0
36	 f__AKAU3644	CDD02.Tc.HFLF.2	0.0
37	 f__AKAU3644	CDD02.Tc.HFLF.3	0.0
38	 f__AKAU3644	CDD02.Tc.HFLF.4	0.0
39	 f__AKAU3644	CDD02.Tc.HFLF.5	0.0
40	 f__AKAU3644	CDD02.Tc.LFHF.1	0.0
41	 f__AKAU3644	CDD02.Tc.LFHF.2	0.0
42	 f__AKAU3644	CDD02.Tc.LFHF.3	0.0
43	 f__AKAU3644	CDD02.Tc.LFHF.4	0.0001015300579736631
44	 f__AKAU3644	CDD02.Tc.LFHF.5	0.0
45	 f__AKAU3644	CDD02.Tc.LFLF.1	0.0
46	 f__AKAU3644	CDD02.Tc.LFLF.2	0.0
47	 f__AKAU3644	CDD02.Tc.LFLF.3	0.0
48	 f__AKAU3644	CDD02.Tc.LFLF.4	0.0
49	 f__AKAU3644	CDD02.Tc.LFLF.5	0.0
50	 f__Acholeplasmataceae	CDD02.CR.Chow.1	-0.0007700231006930208
51	 f__Acholeplasmataceae	CDD02.CR.Chow.2	-0.0003100062001240025
52	 f__Acholeplasmataceae	CDD02.CR.Chow.3	0.0001475307177322767
53	 f__Acholeplasmataceae	CDD02.CR.Chow.4	-0.00038
54	 f__Acholeplasmataceae	CDD02.CR.Chow.5	-0.00044048453298628493
55	 f__Acholeplasmataceae	CDD02.CR.HFHF.1	-0.0002700459078043267
56	 f__Acholeplasmataceae	CDD02.CR.HFHF.2	-0.0005800290014500725
57	 f__Acholeplasmataceae	CDD02.CR.HFHF.3	-0.00026003640509671355
58	 f__Acholeplasmataceae	CDD02.CR.HFHF.4	0.0
59	 f__Acholeplasmataceae	CDD02.CR.HFHF.5	-0.00019000570017100514
60	 f__Acholeplasmataceae	CDD02.CR.HFLF.1	-0.0002900754196090984
61	 f__Acholeplasmataceae	CDD02.CR.HFLF.2	-0.0004599954000459995
62	 f__Acholeplasmataceae	CDD02.CR.HFLF.3	-0.0002700081002430073
63	 f__Acholeplasmataceae	CDD02.CR.HFLF.4	-0.0001999960000799984
64	 f__Acholeplasmataceae	CDD02.CR.HFLF.5	-0.00016999660006799863
65	 f__Acholeplasmataceae	CDD02.CR.LFHF.1	-0.0005600112002240045
66	 f__Acholeplasmataceae	CDD02.CR.LFHF.2	-0.00037998860034198977
67	 f__Acholeplasmataceae	CDD02.CR.LFHF.3	-0.0005399730013499326
68	 f__Acholeplasmataceae	CDD02.CR.LFHF.4	-0.00010002400576138273
69	 f__Acholeplasmataceae	CDD02.CR.LFHF.5	-0.00017002550382557384
70	 f__Acholeplasmataceae	CDD02.CR.LFLF.1	-0.0004300258015480929
71	 f__Acholeplasmataceae	CDD02.CR.LFLF.2	0.0
72	 f__Acholeplasmataceae	CDD02.CR.LFLF.3	-0.0003700259018131269
73	 f__Acholeplasmataceae	CDD02.CR.LFLF.4	-0.00026
74	 f__Acholeplasmataceae	CDD02.CR.LFLF.5	-0.001290283862449739
75	 f__Acholeplasmataceae	CDD02.Tc.Chow.1	-0.0007799844003119938
76	 f__Acholeplasmataceae	CDD02.Tc.Chow.2	0.0
77	 f__Acholeplasmataceae	CDD02.Tc.Chow.3	0.0
78	 f__Acholeplasmataceae	CDD02.Tc.Chow.4	0.0
79	 f__Acholeplasmataceae	CDD02.Tc.Chow.5	0.0
80	 f__Acholeplasmataceae	CDD02.Tc.HFHF.1	0.0
81	 f__Acholeplasmataceae	CDD02.Tc.HFHF.2	0.0
82	 f__Acholeplasmataceae	CDD02.Tc.HFHF.3	-0.00071996400179991
83	 f__Acholeplasmataceae	CDD02.Tc.HFHF.4	-0.00021005041209890373
84	 f__Acholeplasmataceae	CDD02.Tc.HFHF.5	0.0
85	 f__Acholeplasmataceae	CDD02.Tc.HFLF.1	0.0
86	 f__Acholeplasmataceae	CDD02.Tc.HFLF.2	0.0
87	 f__Acholeplasmataceae	CDD02.Tc.HFLF.3	-0.00012999870001299986
88	 f__Acholeplasmataceae	CDD02.Tc.HFLF.4	-8.000560039202744e-05
89	 f__Acholeplasmataceae	CDD02.Tc.HFLF.5	0.0
90	 f__Acholeplasmataceae	CDD02.Tc.LFHF.1	0.0
91	 f__Acholeplasmataceae	CDD02.Tc.LFHF.2	-0.00087
92	 f__Acholeplasmataceae	CDD02.Tc.LFHF.3	-0.00014000280005600112
93	 f__Acholeplasmataceae	CDD02.Tc.LFHF.4	-0.0007300584046723737
94	 f__Acholeplasmataceae	CDD02.Tc.LFHF.5	0.0
95	 f__Acholeplasmataceae	CDD02.Tc.LFLF.1	-0.0024607136069460145
96	 f__Acholeplasmataceae	CDD02.Tc.LFLF.2	-8.000240007200216e-05
97	 f__Acholeplasmataceae	CDD02.Tc.LFLF.3	0.0
98	 f__Acholeplasmataceae	CDD02.Tc.LFLF.4	0.0
99	 f__Acholeplasmataceae	CDD02.Tc.LFLF.5	0.0
100	 f__Akkermansiaceae	CDD02.CR.Chow.1	0.016762903859388015
101	 f__Akkermansiaceae	CDD02.CR.Chow.2	0.07339982239644793
102	 f__Akkermansiaceae	CDD02.CR.Chow.3	0.3588234536054671
103	 f__Akkermansiaceae	CDD02.CR.Chow.4	0.01652
104	 f__Akkermansiaceae	CDD02.CR.Chow.5	0.05985105038112632
105	 f__Akkermansiaceae	CDD02.CR.HFHF.1	0.1561303823265939
106	 f__Akkermansiaceae	CDD02.CR.HFHF.2	-0.0007403607467829246
107	 f__Akkermansiaceae	CDD02.CR.HFHF.3	-0.05555233873795426
108	 f__Akkermansiaceae	CDD02.CR.HFHF.4	0.25972396973131273
109	 f__Akkermansiaceae	CDD02.CR.HFHF.5	0.14911784325166993
110	 f__Akkermansiaceae	CDD02.CR.HFLF.1	-0.051633357423165195
111	 f__Akkermansiaceae	CDD02.CR.HFLF.2	-0.057979420205797945
112	 f__Akkermansiaceae	CDD02.CR.HFLF.3	-0.05811174125202754
