	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	status	pos_culture
0	24	0	0	0	1	0	1	0.0
1	13	0	0	0	1	0	1	0.0
2	2	0	0	0	1	0	0	0.0
3	28	0	0	0	1	1	1	0.0
4	6	0	0	0	1	0	1	0.0
5	14	4	0	1	1	0	0	1.0
6	21	4	0	1	1	0	0	1.0
7	36	4	0	1	1	0	1	0.0
8	37	4	0	1	1	0	0	1.0
9	32	4	0	1	1	0	1	1.0
10	38	2	0	0	0	1	0	0.0
11	19	2	0	0	0	1	1	0.0
12	7	2	0	0	0	1	1	0.0
13	25	2	0	0	0	1	0	0.0
14	31	2	0	0	0	1	0	0.0
15	0	3	0	1	1	0	1	0.0
16	26	3	0	1	1	0	0	0.0
17	34	3	0	1	1	0	1	0.0
18	8	3	0	1	1	0	1	0.0
19	18	3	0	1	1	0	1	0.0
20	29	1	0	0	0	1	0	0.0
21	1	1	0	0	0	1	0	1.0
22	39	1	0	0	0	1	0	0.0
23	9	1	0	0	0	1	0	0.0
24	23	1	0	0	0	1	0	1.0
25	10	0	1	0	1	1	0	0.0
26	15	0	1	0	1	0	0	0.0
27	3	0	1	0	1	1	0	0.0
28	17	0	1	0	1	0	1	0.0
29	4	4	1	1	1	1	1	1.0
30	35	4	1	1	1	1	0	1.0
31	16	4	1	1	1	0	1	0.0
32	40	4	1	1	1	0	1	0.0
34	22	2	1	0	0	1	0	1.0
35	33	2	1	0	0	1	1	1.0
36	30	2	1	0	0	1	0	1.0
37	45	2	1	0	0	1	0	0.0
38	27	3	1	1	1	0	1	0.0
39	41	3	1	1	1	0	1	0.0
40	11	3	1	1	1	0	1	0.0
41	12	3	1	1	1	0	1	0.0
42	42	3	1	1	1	1	1	0.0
43	20	1	1	0	0	1	0	1.0
44	43	1	1	0	0	1	0	1.0
45	5	1	1	0	0	1	0	1.0
46	46	1	1	0	0	1	0	0.0
47	44	1	1	0	0	1	0	1.0
