	feature	num_occurences	av_occurences	bs_model
0	 f__Bacteroidaceae	5	1.0	random_forest
1	 f__Christensenellaceae	5	1.0	random_forest
2	 f__Prevotellaceae	5	1.0	random_forest
3	 f__Rikenellaceae	5	1.0	random_forest
4	 f__Sutterellaceae	5	1.0	random_forest
5	 f__Tannerellaceae	5	1.0	random_forest
6	 f__Erysipelatoclostridiaceae	4	0.8	random_forest
7	 f__Marinifilaceae	4	0.8	random_forest
8	 f__Peptococcaceae	4	0.8	random_forest
9	 f__Gastranaerophilales	3	0.6	random_forest
10	 f__Oscillospiraceae	2	0.4	random_forest
11	 f__Peptostreptococcaceae	2	0.4	random_forest
12	 f__[Eubacterium]_coprostanoligenes_group	2	0.4	random_forest
13	 f__Desulfovibrionaceae	1	0.2	random_forest
14	 f__Monoglobaceae	1	0.2	random_forest
15	 f__Bacteroidaceae	5	1.0	grad_boost
16	 f__Christensenellaceae	5	1.0	grad_boost
17	 f__Tannerellaceae	5	1.0	grad_boost
18	 f__Peptococcaceae	4	0.8	grad_boost
19	 f__Prevotellaceae	4	0.8	grad_boost
20	 f__Rikenellaceae	4	0.8	grad_boost
21	 f__Erysipelatoclostridiaceae	2	0.4	grad_boost
22	 f__Erysipelotrichaceae	1	0.2	grad_boost
23	 f__Marinifilaceae	1	0.2	grad_boost
24	 f__Saccharimonadaceae	1	0.2	grad_boost
25	 f__[Eubacterium]_coprostanoligenes_group	1	0.2	grad_boost
