	key	final_y_pred	model_correct	fold	mouse_id	Unnamed: 0	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
0	taconic	taconic	1	f0	0	43	4	1	1	1	0	decision_tree
1	charles_river	charles_river	1	f0	1	3	2	0	0	1	1	decision_tree
2	taconic	taconic	1	f0	2	32	1	1	1	1	1	decision_tree
3	charles_river	charles_river	1	f0	3	10	3	0	0	0	1	decision_tree
4	charles_river	charles_river	1	f0	4	14	3	0	0	0	1	decision_tree
5	charles_river	charles_river	1	f0	5	15	4	0	1	1	0	decision_tree
6	charles_river	charles_river	1	f0	6	24	0	0	0	0	1	decision_tree
7	taconic	taconic	1	f0	7	27	2	1	0	1	0	decision_tree
8	taconic	taconic	1	f0	8	29	2	1	0	1	0	decision_tree
9	taconic	taconic	1	f0	9	40	4	1	1	1	0	decision_tree
10	charles_river	charles_river	1	f1	10	7	1	0	1	1	0	decision_tree
11	charles_river	charles_river	1	f1	11	23	0	0	0	0	1	decision_tree
12	charles_river	charles_river	1	f1	12	19	4	0	1	1	0	decision_tree
13	taconic	taconic	1	f1	13	35	3	1	0	0	1	decision_tree
14	taconic	taconic	1	f1	14	48	0	1	0	0	1	decision_tree
15	taconic	taconic	1	f1	15	45	0	1	0	0	1	decision_tree
16	charles_river	charles_river	1	f1	16	6	1	0	1	1	0	decision_tree
17	charles_river	charles_river	1	f1	17	20	0	0	0	0	1	decision_tree
18	charles_river	charles_river	1	f1	18	8	1	0	1	1	0	decision_tree
19	charles_river	taconic	0	f1	19	21	0	0	0	0	1	decision_tree
20	charles_river	charles_river	1	f2	20	0	2	0	0	1	0	decision_tree
21	charles_river	charles_river	1	f2	21	9	1	0	1	1	0	decision_tree
22	charles_river	charles_river	1	f2	22	4	2	0	0	1	0	decision_tree
23	taconic	taconic	1	f2	23	37	3	1	0	0	1	decision_tree
24	taconic	taconic	1	f2	24	49	0	1	0	0	1	decision_tree
25	charles_river	charles_river	1	f2	25	13	3	0	0	0	1	decision_tree
26	taconic	taconic	1	f2	26	31	1	1	1	1	1	decision_tree
27	taconic	taconic	1	f2	27	26	2	1	0	1	0	decision_tree
28	taconic	taconic	1	f2	28	28	2	1	0	1	1	decision_tree
29	taconic	charles_river	0	f2	29	41	4	1	1	1	0	decision_tree
30	taconic	taconic	1	f3	30	46	0	1	0	0	1	decision_tree
31	charles_river	charles_river	1	f3	31	16	4	0	1	1	0	decision_tree
32	taconic	taconic	1	f3	32	36	3	1	0	0	1	decision_tree
33	taconic	taconic	1	f3	33	33	1	1	1	1	0	decision_tree
34	charles_river	charles_river	1	f3	34	18	4	0	1	1	0	decision_tree
35	charles_river	charles_river	1	f3	35	22	0	0	0	0	1	decision_tree
36	taconic	taconic	1	f3	36	44	4	1	1	1	1	decision_tree
37	taconic	taconic	1	f3	37	34	1	1	1	1	0	decision_tree
38	taconic	taconic	1	f3	38	25	2	1	0	1	1	decision_tree
39	taconic	taconic	1	f3	39	39	3	1	0	0	1	decision_tree
40	charles_river	charles_river	1	f4	40	1	2	0	0	1	0	decision_tree
41	taconic	taconic	1	f4	41	38	3	1	0	0	1	decision_tree
42	charles_river	charles_river	1	f4	42	11	3	0	0	0	1	decision_tree
43	taconic	taconic	1	f4	43	42	4	1	1	1	0	decision_tree
44	taconic	taconic	1	f4	44	47	0	1	0	0	1	decision_tree
45	taconic	taconic	1	f4	45	30	1	1	1	1	0	decision_tree
46	charles_river	charles_river	1	f4	46	5	1	0	1	1	0	decision_tree
47	charles_river	charles_river	1	f4	47	2	2	0	0	1	0	decision_tree
48	charles_river	charles_river	1	f4	48	12	3	0	0	0	1	decision_tree
49	charles_river	charles_river	1	f4	49	17	4	0	1	1	0	decision_tree
50	taconic	taconic	1	f0	0	43	4	1	1	1	0	grad_boost
51	charles_river	charles_river	1	f0	1	3	2	0	0	1	1	grad_boost
52	taconic	taconic	1	f0	2	32	1	1	1	1	1	grad_boost
53	charles_river	charles_river	1	f0	3	10	3	0	0	0	1	grad_boost
54	charles_river	charles_river	1	f0	4	14	3	0	0	0	1	grad_boost
55	charles_river	charles_river	1	f0	5	15	4	0	1	1	0	grad_boost
56	charles_river	charles_river	1	f0	6	24	0	0	0	0	1	grad_boost
57	taconic	taconic	1	f0	7	27	2	1	0	1	0	grad_boost
58	taconic	taconic	1	f0	8	29	2	1	0	1	0	grad_boost
59	taconic	taconic	1	f0	9	40	4	1	1	1	0	grad_boost
60	charles_river	charles_river	1	f1	10	7	1	0	1	1	0	grad_boost
61	charles_river	charles_river	1	f1	11	23	0	0	0	0	1	grad_boost
62	charles_river	charles_river	1	f1	12	19	4	0	1	1	0	grad_boost
63	taconic	taconic	1	f1	13	35	3	1	0	0	1	grad_boost
64	taconic	taconic	1	f1	14	48	0	1	0	0	1	grad_boost
65	taconic	taconic	1	f1	15	45	0	1	0	0	1	grad_boost
66	charles_river	charles_river	1	f1	16	6	1	0	1	1	0	grad_boost
67	charles_river	charles_river	1	f1	17	20	0	0	0	0	1	grad_boost
68	charles_river	charles_river	1	f1	18	8	1	0	1	1	0	grad_boost
69	charles_river	taconic	0	f1	19	21	0	0	0	0	1	grad_boost
70	charles_river	charles_river	1	f2	20	0	2	0	0	1	0	grad_boost
71	charles_river	charles_river	1	f2	21	9	1	0	1	1	0	grad_boost
72	charles_river	charles_river	1	f2	22	4	2	0	0	1	0	grad_boost
73	taconic	taconic	1	f2	23	37	3	1	0	0	1	grad_boost
74	taconic	taconic	1	f2	24	49	0	1	0	0	1	grad_boost
75	charles_river	charles_river	1	f2	25	13	3	0	0	0	1	grad_boost
76	taconic	taconic	1	f2	26	31	1	1	1	1	1	grad_boost
77	taconic	taconic	1	f2	27	26	2	1	0	1	0	grad_boost
78	taconic	taconic	1	f2	28	28	2	1	0	1	1	grad_boost
79	taconic	charles_river	0	f2	29	41	4	1	1	1	0	grad_boost
80	taconic	taconic	1	f3	30	46	0	1	0	0	1	grad_boost
81	charles_river	charles_river	1	f3	31	16	4	0	1	1	0	grad_boost
82	taconic	taconic	1	f3	32	36	3	1	0	0	1	grad_boost
83	taconic	taconic	1	f3	33	33	1	1	1	1	0	grad_boost
84	charles_river	charles_river	1	f3	34	18	4	0	1	1	0	grad_boost
85	charles_river	charles_river	1	f3	35	22	0	0	0	0	1	grad_boost
86	taconic	taconic	1	f3	36	44	4	1	1	1	1	grad_boost
87	taconic	taconic	1	f3	37	34	1	1	1	1	0	grad_boost
88	taconic	taconic	1	f3	38	25	2	1	0	1	1	grad_boost
89	taconic	taconic	1	f3	39	39	3	1	0	0	1	grad_boost
90	charles_river	charles_river	1	f4	40	1	2	0	0	1	0	grad_boost
91	taconic	taconic	1	f4	41	38	3	1	0	0	1	grad_boost
92	charles_river	charles_river	1	f4	42	11	3	0	0	0	1	grad_boost
93	taconic	taconic	1	f4	43	42	4	1	1	1	0	grad_boost
94	taconic	taconic	1	f4	44	47	0	1	0	0	1	grad_boost
95	taconic	taconic	1	f4	45	30	1	1	1	1	0	grad_boost
96	charles_river	charles_river	1	f4	46	5	1	0	1	1	0	grad_boost
97	charles_river	charles_river	1	f4	47	2	2	0	0	1	0	grad_boost
98	charles_river	charles_river	1	f4	48	12	3	0	0	0	1	grad_boost
99	charles_river	charles_river	1	f4	49	17	4	0	1	1	0	grad_boost
100	taconic	taconic	1	f0	0	43	4	1	1	1	0	random_forest
101	charles_river	charles_river	1	f0	1	3	2	0	0	1	1	random_forest
102	taconic	taconic	1	f0	2	32	1	1	1	1	1	random_forest
103	charles_river	charles_river	1	f0	3	10	3	0	0	0	1	random_forest
104	charles_river	charles_river	1	f0	4	14	3	0	0	0	1	random_forest
105	charles_river	charles_river	1	f0	5	15	4	0	1	1	0	random_forest
106	charles_river	charles_river	1	f0	6	24	0	0	0	0	1	random_forest
107	taconic	taconic	1	f0	7	27	2	1	0	1	0	random_forest
108	taconic	taconic	1	f0	8	29	2	1	0	1	0	random_forest
109	taconic	taconic	1	f0	9	40	4	1	1	1	0	random_forest
110	charles_river	charles_river	1	f1	10	7	1	0	1	1	0	random_forest
111	charles_river	charles_river	1	f1	11	23	0	0	0	0	1	random_forest
112	charles_river	charles_river	1	f1	12	19	4	0	1	1	0	random_forest
113	taconic	taconic	1	f1	13	35	3	1	0	0	1	random_forest
114	taconic	taconic	1	f1	14	48	0	1	0	0	1	random_forest
115	taconic	taconic	1	f1	15	45	0	1	0	0	1	random_forest
116	charles_river	charles_river	1	f1	16	6	1	0	1	1	0	random_forest
117	charles_river	charles_river	1	f1	17	20	0	0	0	0	1	random_forest
118	charles_river	charles_river	1	f1	18	8	1	0	1	1	0	random_forest
119	charles_river	taconic	0	f1	19	21	0	0	0	0	1	random_forest
120	charles_river	charles_river	1	f2	20	0	2	0	0	1	0	random_forest
121	charles_river	charles_river	1	f2	21	9	1	0	1	1	0	random_forest
122	charles_river	charles_river	1	f2	22	4	2	0	0	1	0	random_forest
123	taconic	taconic	1	f2	23	37	3	1	0	0	1	random_forest
124	taconic	taconic	1	f2	24	49	0	1	0	0	1	random_forest
125	charles_river	charles_river	1	f2	25	13	3	0	0	0	1	random_forest
126	taconic	taconic	1	f2	26	31	1	1	1	1	1	random_forest
127	taconic	taconic	1	f2	27	26	2	1	0	1	0	random_forest
128	taconic	taconic	1	f2	28	28	2	1	0	1	1	random_forest
129	taconic	charles_river	0	f2	29	41	4	1	1	1	0	random_forest
130	taconic	taconic	1	f3	30	46	0	1	0	0	1	random_forest
131	charles_river	charles_river	1	f3	31	16	4	0	1	1	0	random_forest
132	taconic	taconic	1	f3	32	36	3	1	0	0	1	random_forest
133	taconic	taconic	1	f3	33	33	1	1	1	1	0	random_forest
134	charles_river	charles_river	1	f3	34	18	4	0	1	1	0	random_forest
135	charles_river	charles_river	1	f3	35	22	0	0	0	0	1	random_forest
136	taconic	taconic	1	f3	36	44	4	1	1	1	1	random_forest
137	taconic	taconic	1	f3	37	34	1	1	1	1	0	random_forest
138	taconic	taconic	1	f3	38	25	2	1	0	1	1	random_forest
139	taconic	taconic	1	f3	39	39	3	1	0	0	1	random_forest
140	charles_river	charles_river	1	f4	40	1	2	0	0	1	0	random_forest
141	taconic	taconic	1	f4	41	38	3	1	0	0	1	random_forest
142	charles_river	charles_river	1	f4	42	11	3	0	0	0	1	random_forest
143	taconic	taconic	1	f4	43	42	4	1	1	1	0	random_forest
144	taconic	taconic	1	f4	44	47	0	1	0	0	1	random_forest
145	taconic	taconic	1	f4	45	30	1	1	1	1	0	random_forest
146	charles_river	charles_river	1	f4	46	5	1	0	1	1	0	random_forest
147	charles_river	charles_river	1	f4	47	2	2	0	0	1	0	random_forest
148	charles_river	charles_river	1	f4	48	12	3	0	0	0	1	random_forest
149	charles_river	charles_river	1	f4	49	17	4	0	1	1	0	random_forest
