	feature	num_occurences	av_occurences	bs_model
0	 f__Akkermansiaceae	5	1.0	random_forest
1	 f__Erysipelotrichaceae	5	1.0	random_forest
2	 f__Peptostreptococcaceae	5	1.0	random_forest
3	 f__Lactobacillaceae	3	0.6	random_forest
4	 f__Bacteroidaceae	1	0.2	random_forest
5	 f__Enterobacteriaceae	1	0.2	random_forest
6	 f__Enterococcaceae	1	0.2	random_forest
7	 f__Peptostreptococcaceae	4	0.8	grad_boost
8	 f__Erysipelotrichaceae	3	0.6	grad_boost
9	 f__Akkermansiaceae	2	0.4	grad_boost
10	 f__Bacteroidaceae	2	0.4	grad_boost
11	 f__Erysipelatoclostridiaceae	2	0.4	grad_boost
12	 f__Alicyclobacillaceae	1	0.2	grad_boost
13	 f__Enterobacteriaceae	1	0.2	grad_boost
14	 f__Enterococcaceae	1	0.2	grad_boost
15	 f__Lactobacillaceae	1	0.2	grad_boost
16	 f__Rikenellaceae	1	0.2	grad_boost
17	 f__Sutterellaceae	1	0.2	grad_boost
