	feature	num_occurences	av_occurences	bs_model
0	 f__Akkermansiaceae	5	1.0	random_forest
1	 f__Peptostreptococcaceae	5	1.0	random_forest
2	 f__Enterobacteriaceae	3	0.6	random_forest
3	 f__Erysipelotrichaceae	3	0.6	random_forest
4	 f__Tannerellaceae	2	0.4	random_forest
5	 f__Lactobacillaceae	1	0.2	random_forest
6	 f__Peptostreptococcaceae	4	0.8	grad_boost
7	 f__Enterobacteriaceae	3	0.6	grad_boost
8	 f__Bacillaceae	2	0.4	grad_boost
9	 f__Beggiatoaceae	2	0.4	grad_boost
10	 f__Erysipelotrichaceae	2	0.4	grad_boost
11	 f__Tannerellaceae	2	0.4	grad_boost
12	 f__Akkermansiaceae	1	0.2	grad_boost
