	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
0	True	True	1	f0	0	4	1	1	1	0	decision_tree
1	True	True	1	f0	1	2	0	0	1	1	decision_tree
2	True	True	1	f0	2	1	1	1	1	1	decision_tree
3	False	False	1	f0	3	3	0	0	0	1	decision_tree
4	False	False	1	f0	4	3	0	0	0	1	decision_tree
5	True	False	0	f0	5	4	0	1	1	0	decision_tree
6	False	True	0	f0	6	0	0	0	0	1	decision_tree
7	True	True	1	f0	7	2	1	0	1	0	decision_tree
8	True	True	1	f0	8	2	1	0	1	0	decision_tree
9	True	True	1	f0	9	4	1	1	1	0	decision_tree
10	False	False	1	f1	10	1	0	1	1	0	decision_tree
11	True	True	1	f1	11	0	0	0	0	1	decision_tree
12	False	False	1	f1	12	4	0	1	1	0	decision_tree
13	False	False	1	f1	13	3	1	0	0	1	decision_tree
14	False	False	1	f1	14	0	1	0	0	1	decision_tree
15	True	True	1	f1	15	0	1	0	0	1	decision_tree
16	False	False	1	f1	16	1	0	1	1	0	decision_tree
17	True	True	1	f1	17	0	0	0	0	1	decision_tree
18	False	False	1	f1	18	1	0	1	1	0	decision_tree
19	True	True	1	f1	19	0	0	0	0	1	decision_tree
20	True	True	1	f2	20	2	0	0	1	0	decision_tree
21	True	True	1	f2	21	1	0	1	1	0	decision_tree
22	False	False	1	f2	22	2	0	0	1	0	decision_tree
23	False	False	1	f2	23	3	1	0	0	1	decision_tree
24	False	False	1	f2	24	0	1	0	0	1	decision_tree
25	True	True	1	f2	25	3	0	0	0	1	decision_tree
26	True	True	1	f2	26	1	1	1	1	1	decision_tree
27	True	True	1	f2	27	2	1	0	1	0	decision_tree
28	True	False	0	f2	28	2	1	0	1	1	decision_tree
29	False	False	1	f2	29	4	1	1	1	0	decision_tree
30	True	True	1	f3	30	0	1	0	0	1	decision_tree
31	False	False	1	f3	31	4	0	1	1	0	decision_tree
32	True	True	1	f3	32	3	1	0	0	1	decision_tree
33	True	True	1	f3	33	1	1	1	1	0	decision_tree
34	False	False	1	f3	34	4	0	1	1	0	decision_tree
35	True	True	1	f3	35	0	0	0	0	1	decision_tree
36	True	True	1	f3	36	4	1	1	1	1	decision_tree
37	True	True	1	f3	37	1	1	1	1	0	decision_tree
38	False	False	1	f3	38	2	1	0	1	1	decision_tree
39	True	True	1	f4	39	3	1	0	0	1	decision_tree
40	False	True	0	f4	40	2	0	0	1	0	decision_tree
41	False	False	1	f4	41	3	1	0	0	1	decision_tree
42	True	True	1	f4	42	3	0	0	0	1	decision_tree
