	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
0	taconic	taconic	1	f0	0	4	1	1	1	0	decision_tree
1	charles_river	taconic	0	f0	1	2	0	0	1	1	decision_tree
2	taconic	taconic	1	f0	2	1	1	1	1	1	decision_tree
3	charles_river	charles_river	1	f0	3	3	0	0	0	1	decision_tree
4	charles_river	charles_river	1	f0	4	3	0	0	0	1	decision_tree
5	charles_river	charles_river	1	f0	5	4	0	1	1	0	decision_tree
6	charles_river	charles_river	1	f0	6	0	0	0	0	1	decision_tree
7	taconic	taconic	1	f0	7	2	1	0	1	0	decision_tree
8	taconic	taconic	1	f0	8	2	1	0	1	0	decision_tree
9	charles_river	charles_river	1	f0	9	4	1	1	1	0	decision_tree
10	charles_river	charles_river	1	f1	10	1	0	1	1	0	decision_tree
11	charles_river	charles_river	1	f1	11	0	0	0	0	1	decision_tree
12	taconic	taconic	1	f1	12	4	0	1	1	0	decision_tree
13	taconic	taconic	1	f1	13	3	1	0	0	1	decision_tree
14	taconic	taconic	1	f1	14	0	1	0	0	1	decision_tree
15	charles_river	charles_river	1	f1	15	0	1	0	0	1	decision_tree
16	charles_river	charles_river	1	f1	16	1	0	1	1	0	decision_tree
17	charles_river	charles_river	1	f1	17	0	0	0	0	1	decision_tree
18	charles_river	charles_river	1	f1	18	1	0	1	1	0	decision_tree
19	charles_river	charles_river	1	f1	19	0	0	0	0	1	decision_tree
20	charles_river	charles_river	1	f2	20	2	0	0	1	0	decision_tree
21	charles_river	charles_river	1	f2	21	1	0	1	1	0	decision_tree
22	taconic	taconic	1	f2	22	2	0	0	1	0	decision_tree
23	taconic	taconic	1	f2	23	3	1	0	0	1	decision_tree
24	charles_river	charles_river	1	f2	24	0	1	0	0	1	decision_tree
25	taconic	taconic	1	f2	25	3	0	0	0	1	decision_tree
26	taconic	taconic	1	f2	26	1	1	1	1	1	decision_tree
27	taconic	taconic	1	f2	27	2	1	0	1	0	decision_tree
28	taconic	taconic	1	f2	28	2	1	0	1	1	decision_tree
29	taconic	taconic	1	f2	29	4	1	1	1	0	decision_tree
30	charles_river	charles_river	1	f3	30	0	1	0	0	1	decision_tree
31	taconic	taconic	1	f3	31	4	0	1	1	0	decision_tree
32	taconic	taconic	1	f3	32	3	1	0	0	1	decision_tree
33	charles_river	charles_river	1	f3	33	1	1	1	1	0	decision_tree
34	charles_river	charles_river	1	f3	34	4	0	1	1	0	decision_tree
35	taconic	taconic	1	f3	35	0	0	0	0	1	decision_tree
36	taconic	taconic	1	f3	36	4	1	1	1	1	decision_tree
37	taconic	taconic	1	f3	37	1	1	1	1	0	decision_tree
38	taconic	taconic	1	f3	38	2	1	0	1	1	decision_tree
39	charles_river	charles_river	1	f4	39	3	1	0	0	1	decision_tree
40	taconic	taconic	1	f4	40	2	0	0	1	0	decision_tree
41	charles_river	charles_river	1	f4	41	3	1	0	0	1	decision_tree
42	taconic	taconic	1	f4	42	3	0	0	0	1	decision_tree
43	taconic	taconic	1	f4	43	4	1	1	1	0	decision_tree
44	charles_river	charles_river	1	f4	44	0	1	0	0	1	decision_tree
45	charles_river	charles_river	1	f4	45	1	1	1	1	0	decision_tree
46	charles_river	charles_river	1	f4	46	1	0	1	1	0	decision_tree
47	charles_river	charles_river	1	f4	47	2	0	0	1	0	decision_tree
48	taconic	taconic	1	f0	0	4	1	1	1	0	gaussian
49	charles_river	taconic	0	f0	1	2	0	0	1	1	gaussian
50	taconic	taconic	1	f0	2	1	1	1	1	1	gaussian
51	charles_river	charles_river	1	f0	3	3	0	0	0	1	gaussian
52	charles_river	charles_river	1	f0	4	3	0	0	0	1	gaussian
53	charles_river	charles_river	1	f0	5	4	0	1	1	0	gaussian
54	charles_river	charles_river	1	f0	6	0	0	0	0	1	gaussian
55	taconic	taconic	1	f0	7	2	1	0	1	0	gaussian
56	taconic	taconic	1	f0	8	2	1	0	1	0	gaussian
57	charles_river	charles_river	1	f0	9	4	1	1	1	0	gaussian
58	charles_river	charles_river	1	f1	10	1	0	1	1	0	gaussian
59	charles_river	charles_river	1	f1	11	0	0	0	0	1	gaussian
60	taconic	taconic	1	f1	12	4	0	1	1	0	gaussian
61	taconic	taconic	1	f1	13	3	1	0	0	1	gaussian
62	taconic	taconic	1	f1	14	0	1	0	0	1	gaussian
63	charles_river	charles_river	1	f1	15	0	1	0	0	1	gaussian
64	charles_river	charles_river	1	f1	16	1	0	1	1	0	gaussian
65	charles_river	charles_river	1	f1	17	0	0	0	0	1	gaussian
66	charles_river	charles_river	1	f1	18	1	0	1	1	0	gaussian
67	charles_river	charles_river	1	f1	19	0	0	0	0	1	gaussian
68	charles_river	charles_river	1	f2	20	2	0	0	1	0	gaussian
69	charles_river	charles_river	1	f2	21	1	0	1	1	0	gaussian
70	taconic	taconic	1	f2	22	2	0	0	1	0	gaussian
71	taconic	taconic	1	f2	23	3	1	0	0	1	gaussian
72	charles_river	charles_river	1	f2	24	0	1	0	0	1	gaussian
73	taconic	taconic	1	f2	25	3	0	0	0	1	gaussian
74	taconic	taconic	1	f2	26	1	1	1	1	1	gaussian
75	taconic	taconic	1	f2	27	2	1	0	1	0	gaussian
