	key	final_y_pred	model_correct	fold	mouse_id	Unnamed: 0	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
0	HF/HF	HF/HF	1	f0	0	33	1	0	1	1	0	decision_tree
1	HF/HF	LF/HF	0	f0	1	5	1	1	1	1	0	decision_tree
2	LF/LF	LF/LF	1	f0	2	22	4	1	0	0	1	decision_tree
3	HF/LF	LF/LF	0	f0	3	10	2	1	0	0	1	decision_tree
4	Chow	Chow	1	f0	4	2	0	1	0	1	0	decision_tree
5	Chow	Chow	1	f0	5	29	0	0	0	1	0	decision_tree
6	Chow	Chow	1	f0	6	25	0	0	0	1	1	decision_tree
7	LF/HF	LF/HF	1	f0	7	40	3	0	1	1	0	decision_tree
8	HF/LF	HF/LF	1	f0	8	13	2	1	0	0	1	decision_tree
9	HF/LF	HF/LF	1	f0	9	39	2	0	0	0	1	decision_tree
10	Chow	Chow	1	f1	10	26	0	0	0	1	0	decision_tree
11	LF/HF	HF/HF	0	f1	11	16	3	1	1	1	0	decision_tree
12	HF/HF	HF/HF	1	f1	12	34	1	0	1	1	0	decision_tree
13	Chow	LF/HF	0	f1	13	0	0	1	0	1	0	decision_tree
14	Chow	Chow	1	f1	14	4	0	1	0	1	0	decision_tree
15	HF/LF	HF/LF	1	f1	15	38	2	0	0	0	1	decision_tree
16	HF/HF	HF/HF	1	f1	16	32	1	0	1	1	1	decision_tree
17	LF/LF	LF/LF	1	f1	17	23	4	1	0	0	1	decision_tree
18	LF/HF	HF/LF	0	f1	18	41	3	0	1	1	0	decision_tree
19	HF/HF	HF/HF	1	f1	19	6	1	1	1	1	0	decision_tree
20	LF/LF	HF/LF	0	f2	20	24	4	1	0	0	1	decision_tree
21	LF/HF	LF/HF	1	f2	21	15	3	1	1	1	0	decision_tree
22	HF/HF	HF/LF	0	f2	22	30	1	0	1	1	0	decision_tree
23	Chow	Chow	1	f2	23	3	0	1	0	1	1	decision_tree
24	Chow	Chow	1	f2	24	28	0	0	0	1	1	decision_tree
25	Chow	HF/LF	0	f2	25	27	0	0	0	1	0	decision_tree
26	LF/HF	HF/HF	0	f2	26	44	3	0	1	1	1	decision_tree
27	LF/HF	LF/HF	1	f2	27	43	3	0	1	1	0	decision_tree
28	HF/LF	HF/HF	0	f2	28	35	2	0	0	0	1	decision_tree
29	HF/LF	HF/HF	0	f2	29	36	2	0	0	0	1	decision_tree
30	HF/HF	LF/HF	0	f3	30	9	1	1	1	1	0	decision_tree
31	LF/LF	HF/LF	0	f3	31	48	4	0	0	0	1	decision_tree
32	HF/LF	LF/LF	0	f3	32	12	2	1	0	0	1	decision_tree
33	HF/HF	HF/HF	1	f3	33	8	1	1	1	1	0	decision_tree
34	HF/LF	LF/LF	0	f3	34	11	2	1	0	0	1	decision_tree
35	HF/HF	HF/HF	1	f3	35	31	1	0	1	1	1	decision_tree
36	HF/LF	HF/LF	1	f3	36	37	2	0	0	0	1	decision_tree
37	LF/LF	LF/LF	1	f3	37	47	4	0	0	0	1	decision_tree
38	LF/LF	LF/LF	1	f3	38	20	4	1	0	0	1	decision_tree
39	LF/HF	HF/HF	0	f3	39	19	3	1	1	1	0	decision_tree
40	LF/LF	HF/LF	0	f4	40	45	4	0	0	0	1	decision_tree
41	Chow	Chow	1	f4	41	1	0	1	0	1	0	decision_tree
42	LF/HF	LF/HF	1	f4	42	17	3	1	1	1	0	decision_tree
43	HF/LF	LF/HF	0	f4	43	14	2	1	0	0	1	decision_tree
44	LF/HF	LF/HF	1	f4	44	18	3	1	1	1	0	decision_tree
45	LF/HF	LF/HF	1	f4	45	42	3	0	1	1	0	decision_tree
