	feature	num_occurences	av_occurences	bs_model
0	 f__Erysipelatoclostridiaceae	5	1.0	random_forest
1	 f__Peptostreptococcaceae	5	1.0	random_forest
2	 f__Akkermansiaceae	4	0.8	random_forest
3	 f__Erysipelotrichaceae	4	0.8	random_forest
4	 f__Enterococcaceae	3	0.6	random_forest
5	 f__Bacteroidaceae	1	0.2	random_forest
6	 f__Deferribacteraceae	1	0.2	random_forest
7	 f__Gastranaerophilales	1	0.2	random_forest
8	 f__Enterococcaceae	3	0.6	grad_boost
9	 f__Erysipelatoclostridiaceae	3	0.6	grad_boost
10	 f__Akkermansiaceae	2	0.4	grad_boost
11	 f__Anaerovoracaceae	2	0.4	grad_boost
12	 f__Peptostreptococcaceae	2	0.4	grad_boost
13	 f__Sutterellaceae	2	0.4	grad_boost
14	 f__Clostridia_vadinBB60_group	1	0.2	grad_boost
15	 f__Erysipelotrichaceae	1	0.2	grad_boost
16	 f__Gastranaerophilales	1	0.2	grad_boost
17	 f__Tannerellaceae	1	0.2	grad_boost
18	 f__[Eubacterium]_coprostanoligenes_group	1	0.2	grad_boost
