	feature	num_occurences	av_occurences	bs_model
0	 f__[Eubacterium]_coprostanoligenes_group	3	0.6	random_forest
1	 f__Lachnospiraceae	2	0.4	random_forest
2	 f__Rikenellaceae	2	0.4	random_forest
3	 f__Clostridiaceae	1	0.2	random_forest
4	 f__Deferribacteraceae	1	0.2	random_forest
5	 f__Oscillospiraceae	1	0.2	random_forest
6	 f__Rikenellaceae	2	0.4	grad_boost
7	 f__Eggerthellaceae	1	0.2	grad_boost
8	 f__Erysipelatoclostridiaceae	1	0.2	grad_boost
9	 f__Lachnospiraceae	1	0.2	grad_boost
10	 f__Sutterellaceae	1	0.2	grad_boost
11	 f__[Eubacterium]_coprostanoligenes_group	1	0.2	grad_boost
