	feature	num_occurences	av_occurences	bs_model
0	 f__Erysipelotrichaceae	4	0.8	random_forest
1	 f__RF39	4	0.8	random_forest
2	 f__Akkermansiaceae	3	0.6	random_forest
3	 f__Lachnospiraceae	2	0.4	random_forest
4	 f__Peptostreptococcaceae	2	0.4	random_forest
5	 f__Acholeplasmataceae	1	0.2	random_forest
6	 f__Deferribacteraceae	1	0.2	random_forest
7	 f__Ruminococcaceae	1	0.2	random_forest
8	 f__Enterobacteriaceae	3	0.6	grad_boost
9	 f__Akkermansiaceae	2	0.4	grad_boost
10	 f__RF39	2	0.4	grad_boost
11	 f__Anaerovoracaceae	1	0.2	grad_boost
12	 f__Clostridia_vadinBB60_group	1	0.2	grad_boost
13	 f__Deferribacteraceae	1	0.2	grad_boost
14	 f__Lachnospiraceae	1	0.2	grad_boost
15	 f__Peptostreptococcaceae	1	0.2	grad_boost
