	feature	num_occurences	av_occurences	bs_model
0	 f__Morganellaceae	5	1.0	random_forest
1	 f__Christensenellaceae	4	0.8	random_forest
2	 f__Marinifilaceae	4	0.8	random_forest
3	 f__Prevotellaceae	4	0.8	random_forest
4	 f__Rikenellaceae	4	0.8	random_forest
5	 f__Tannerellaceae	4	0.8	random_forest
6	 f__Enterobacteriaceae	3	0.6	random_forest
7	 f__Peptococcaceae	3	0.6	random_forest
8	 f__Monoglobaceae	2	0.4	random_forest
9	 f__Desulfovibrionaceae	1	0.2	random_forest
10	 f__Gastranaerophilales	1	0.2	random_forest
11	 f__Streptococcaceae	1	0.2	random_forest
12	 f__[Eubacterium]_coprostanoligenes_group	1	0.2	random_forest
13	 f__Morganellaceae	5	1.0	grad_boost
14	 f__Christensenellaceae	1	0.2	grad_boost
15	 f__Marinifilaceae	1	0.2	grad_boost
16	 f__Peptococcaceae	1	0.2	grad_boost
17	 f__Prevotellaceae	1	0.2	grad_boost
18	 f__Rikenellaceae	1	0.2	grad_boost
