	key	final_y_pred	model_correct	fold	mouse_id	Unnamed: 0	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
0	taconic	taconic	1	f0	0	33	1	0	1	1	0	decision_tree
1	charles_river	charles_river	1	f0	1	5	1	1	1	1	0	decision_tree
2	charles_river	charles_river	1	f0	2	22	4	1	0	0	1	decision_tree
3	charles_river	charles_river	1	f0	3	10	2	1	0	0	1	decision_tree
4	charles_river	charles_river	1	f0	4	2	0	1	0	1	0	decision_tree
5	taconic	taconic	1	f0	5	29	0	0	0	1	0	decision_tree
6	taconic	taconic	1	f0	6	25	0	0	0	1	1	decision_tree
7	taconic	taconic	1	f0	7	40	3	0	1	1	0	decision_tree
8	charles_river	charles_river	1	f0	8	13	2	1	0	0	1	decision_tree
9	taconic	taconic	1	f0	9	39	2	0	0	0	1	decision_tree
10	taconic	taconic	1	f1	10	26	0	0	0	1	0	decision_tree
11	charles_river	charles_river	1	f1	11	16	3	1	1	1	0	decision_tree
12	taconic	taconic	1	f1	12	34	1	0	1	1	0	decision_tree
13	charles_river	charles_river	1	f1	13	0	0	1	0	1	0	decision_tree
14	charles_river	charles_river	1	f1	14	4	0	1	0	1	0	decision_tree
15	taconic	taconic	1	f1	15	38	2	0	0	0	1	decision_tree
16	taconic	taconic	1	f1	16	32	1	0	1	1	1	decision_tree
17	charles_river	charles_river	1	f1	17	23	4	1	0	0	1	decision_tree
18	taconic	taconic	1	f1	18	41	3	0	1	1	0	decision_tree
19	charles_river	charles_river	1	f1	19	6	1	1	1	1	0	decision_tree
20	charles_river	charles_river	1	f2	20	24	4	1	0	0	1	decision_tree
21	charles_river	charles_river	1	f2	21	15	3	1	1	1	0	decision_tree
22	taconic	taconic	1	f2	22	30	1	0	1	1	0	decision_tree
23	charles_river	taconic	0	f2	23	3	0	1	0	1	1	decision_tree
24	taconic	taconic	1	f2	24	28	0	0	0	1	1	decision_tree
25	taconic	taconic	1	f2	25	27	0	0	0	1	0	decision_tree
26	taconic	taconic	1	f2	26	44	3	0	1	1	1	decision_tree
27	taconic	taconic	1	f2	27	43	3	0	1	1	0	decision_tree
28	taconic	taconic	1	f2	28	35	2	0	0	0	1	decision_tree
29	taconic	taconic	1	f2	29	36	2	0	0	0	1	decision_tree
30	charles_river	charles_river	1	f3	30	9	1	1	1	1	0	decision_tree
31	taconic	taconic	1	f3	31	48	4	0	0	0	1	decision_tree
32	charles_river	charles_river	1	f3	32	12	2	1	0	0	1	decision_tree
